Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,504536556.12,20141952.40,76408579.80,239586,0,293554,0,530591,0,44727,0,2415,0.6867788884271417,460512
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,221304372.90,4301174.46,823350.00,58450,0,32435,0,91920,0,6107,0,970,0.9034815005163638,82344
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,35270802.47,798629.36,132850.00,13674,0,18491,0,29760,0,1379,0,127,0.608282853206258,13812
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,395657426.19,336226165.84,408658878.00,328293,0,213144,0,693658,0,108630,0,2327,0.9377597475009696,1205004
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,192100254.57,86099438.68,227082654.00,94791,0,66269,0,200145,0,35709,0,2921,0.4691904191879656,751536
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,44091886.60,17810451.39,58789634.00,35675,0,32815,0,75453,0,9419,0,541,0.8930696121959093,117900
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,47298824.54,44253647.10,22720075.23,54551,0,54624,0,107763,0,13435,0,1563,0.8342891703497259,132660
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,50940501.27,40306854.54,28853472.80,51931,0,53558,0,107199,0,13438,0,1586,0.8367610343722053,134148
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,58250396.33,22675645.20,32951441.81,49277,0,49594,0,99737,0,12678,0,1529,0.838313367824325,126744
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,752360433.58,0.00,0,361647,0,168356,0,789929,0,143969,3930,0.9735121433138607,1669932
